时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2023-09-15,9468.0,9468.0,9468.0,9468.0,9468.0,640.0,0.0,0.0,0.0,0.0,9468.0,9468.0,9468.0,0.0,9.0625,9.0625,9.0625,-90.9375,0.0,0.0,235242.0,0,30735.0,0.0,0.0
2023-09-18,9407.0,9407.0,9407.0,9407.0,9456.380952380952,409.0,0.0,-9.732193732192172,-1.9464387464384345,-7.785754985753738,9579.534054609518,9234.465945390482,9407.0,345.06810921903525,8.49780701754386,8.874269005847953,7.744883040935672,-92.63157894736842,-35.35533905932726,0.0,179404.5,-123567,33195.5,4921.0,16.011062306816328
2023-09-19,9380.0,9380.0,9380.0,9380.0,9443.963718820862,321.3333333333333,0.0,-18.841665246223783,-5.325484046395505,-13.516181199828278,9533.727030804605,9226.272969195395,9380.0,307.454061609209,7.244152046783626,8.330896686159843,5.070662768031191,-95.26315789473684,-31.47239304254219,0.0,152390.33333333334,-221929,35084.0,3205.0,8.988669508638104
2023-09-20,9362.5,9362.5,9362.5,9362.5,9431.20526940935,318.5,0.0,-27.040349022216105,-9.668457041559625,-17.37189198065648,9506.21731512475,9218.78268487525,9362.5,287.4346302494996,7.174493324321412,7.945428898880366,5.632622175203506,-92.96482412060301,-20.93940694389649,0.0,168576.75,-439065,38219.75,8766.0,22.557319677826104
2023-09-21,9316.8,9316.8,9316.8,9316.8,9402.90000565608,297.6,0.0,-47.19555313135788,-17.173876259519275,-30.021676871838608,9556.092289888327,9077.507710111671,9316.8,478.584579776656,4.855617190796701,6.915491662852478,0.7358682466851469,-99.78213507625273,-58.08219951675754,0.0,155027.2,-539894,39768.6,-1663.0,-3.4917168832804935
2023-09-22,9266.8,9300.333333333334,9300.333333333334,9300.333333333334,9385.290481307882,272.3333333333333,20.09569377990431,-55.74797169970407,-24.888695347556236,-30.85927635214783,9529.060827672485,9071.605838994183,9300.333333333334,457.45498867830247,6.359808700908765,6.730264008871241,5.6188980849838135,-90.6318082788671,-44.476994674289365,100.0,143360.16666666666,-454869,40221.666666666664,-3477.0,-7.564615786267515
2023-09-25,9223.6,9276.0,9276.0,9276.0,9360.977102135703,266.85714285714283,16.600790513834,-68.83322303729801,-33.677600885504596,-35.155622151793416,9521.30796970339,9030.69203029661,9276.0,490.61593940677994,6.407894147489312,6.622807388410598,5.978067665646741,-93.4959349593496,-51.66712513348497,82.60869565217394,135131.85714285713,-540631,40509.42857142857,-251.0,-0.5907689410878603
2023-09-26,9144.4,9232.75,9232.75,9232.75,9319.931663837066,263.5,11.898016997167133,-94.2551923412575,-45.79311917665518,-48.462073164602316,9566.572450670154,8898.927549329846,9232.75,667.6449013403071,5.421354719015864,6.22232316527902,3.819417826489552,-96.55172413793103,-78.72281587256036,59.206798866855486,128377.625,-621729,41292.375,4537.0,10.742021024718241
2023-09-27,9078.4,9204.666666666666,9204.666666666666,9204.666666666666,9287.557219662107,248.44444444444446,17.724867724867735,-109.10995242451463,-58.45648582622707,-50.65346659828756,9559.490566650868,8849.842766682465,9204.666666666666,709.647799968403,6.200443375895633,6.215029902151224,6.1712703233844515,-92.24137931034483,-66.2084189050899,88.20231796422277,119472.66666666667,-573496,41274.0,-5646.0,-12.071066641010841
2023-09-28,9052.8,9184.8,9184.8,9184.8,9260.742246360955,243.4,20.46035805626599,-117.43080488376836,-70.25134963773533,-47.17945524603303,9542.149253376703,8827.450746623295,9184.8,714.6985067534079,9.870523081457621,7.43352762858669,14.744513987199486,-90.0,-44.94693812943844,100.0,113542.2,-513328,40467.5,-7918.0,-19.252559146059767
2023-10-09,8933.2,9100.0,9133.454545454546,9133.454545454546,9199.71917527896,259.45454545454544,13.698630136986296,-153.40377128479304,-86.88183396714687,-66.52193731764616,9614.004533394498,8652.904557514594,9133.454545454546,961.0999758799044,7.739176260167385,7.535410505780255,8.146707768941647,-97.6775956284153,-97.68869078410931,66.9520547945205,108079.72727272728,-566783,40782.818181818184,10727.0,32.30148453732422
2023-10-10,8807.2,9015.4,9080.666666666666,9080.666666666666,9133.07925382382,251.33333333333334,12.422360248447205,-189.41217776668054,-107.38790272705361,-82.02427503962693,9666.917207791954,8494.416125541378,9080.666666666666,1172.5010822505756,5.531198052007501,6.867339687856004,2.8589147803104975,-99.23175416133162,-94.87252547688325,60.7142857142857,103457.91666666667,-619401,41365.75,3842.0,8.744537509104156
2023-10-11,8712.8,8928.6,9032.76923076923,9032.76923076923,9068.785991554885,241.3846153846154,12.030075187969928,-218.81577626084618,-129.67347743381214,-89.14229882703404,9691.818118104178,8373.720343434283,9032.76923076923,1318.0977746698954,5.598293393482708,6.444324256398238,3.9062316676516495,-96.71931956257595,-88.5132494251349,58.79699248120301,101220.23076923077,-693769,42326.769230769234,6081.0,12.727615220394316
2023-10-12,8594.8,8836.6,8986.857142857143,8986.857142857143,9004.139706644895,236.28571428571428,11.444921316165946,-244.78365797267725,-152.69551354158517,-92.08814443109208,9707.258252130132,8266.456033584154,8986.857142857143,1440.8022185459777,6.972936336395879,6.620528283064118,7.677752443059401,-94.4254835039818,-84.58922852781915,55.937052932761056,99925.5,-776863,43627.0,6671.0,12.386045043539617
2023-10-13,8474.4,8763.6,8948.0,8948.0,8946.983544107286,202.71428571428572,12.322946175637398,-261.2224979694365,-174.40091042715545,-86.82158754228107,9704.63767513161,8191.362324868391,8948.0,1513.2753502632186,8.352327927967623,7.197794831365286,10.6613941211723,-91.19496855345912,-72.62896983523488,60.228399433427775,99351.13333333333,-685553,44866.13333333333,1684.0,2.7820915248637057
2023-10-16,8439.2,8686.2,8916.5,8916.5,8899.080349430402,198.28571428571428,16.09022556390977,-267.9341532606941,-193.1075589938632,-74.82659426683088,9689.699758579025,8143.300241420976,8916.5,1546.399517158049,11.365320067920443,8.586969910217004,16.92202038332732,-88.0503144654088,-60.681604318091644,78.64097744360897,98798.4375,-595045,46054.0,1658.0,2.6649950171987014
2023-10-17,8411.6,8609.4,8883.882352941177,8883.882352941177,8847.92983996084,204.0,15.373563218390814,-276.68050252579997,-209.82214770025058,-66.85835482554938,9679.38153029868,8088.383175583673,8883.882352941177,1590.9983547150077,10.661906380870965,9.27861540043499,13.428488341742913,-93.61370716510903,-63.74955722027596,75.13829022988509,97762.88235294117,-676239,47238.41176470588,2317.0,3.6275676352705455
2023-10-18,8404.0,8558.4,8858.111111111111,8858.111111111111,8807.174617107426,193.71428571428572,18.96792189679219,-275.75322058221536,-223.00836227664354,-52.744858305571825,9660.241770524673,8055.980451697549,8858.111111111111,1604.2613188271243,12.3750557211826,10.310762174017526,16.503642815512748,-86.86679174484053,-55.83132321629019,92.70571827057181,97142.61111111111,-589641,48318.5,491.0,0.7418151052289712
2023-10-19,8406.0,8500.4,8834.0,8834.0,8768.396082144814,189.0,21.283255086071975,-273.47967238616184,-233.1026242985472,-40.37704808761464,9641.37269378315,8026.627306216849,8834.0,1614.7453875663014,15.576044473462392,12.06585627383248,22.59642087272222,-88.23529411764706,-54.89539267721599,100.0,96177.57894736843,-668448,49288.57894736842,70.0,0.10497900419916828
2023-10-20,8407.2,8440.8,8812.8,8812.8,8734.263121940547,191.42857142857142,16.44518272425249,-267.7841041711781,-240.0389202730734,-27.745183898104727,9621.192192467306,8004.4078075326925,8812.8,1616.7843849346136,22.095741360686638,15.409151302783865,35.46892147649218,-87.25490196078431,-48.26590687887004,50.824270908368504,95878.8,-578246,50022.05,-2792.0,-4.182771535580521
2023-10-23,8382.0,8410.6,8755.3,8789.238095238095,8694.619015089065,188.85714285714286,16.390728476821195,-267.60912503782856,-245.55296122602445,-22.05616381180411,9530.376254313078,7980.22374568692,8755.3,1550.1525086261581,24.18995369991722,18.33608543516165,35.89769022942835,-90.98712446351931,-56.30834377808508,50.270780361037595,88212.7,-660166,51765.05,1637.0,2.5594921667344117
2023-10-24,8415.6,8413.6,8714.5,8777.454545454546,8678.941013652011,189.28571428571428,33.606557377049185,-247.51067557394708,-245.94450409560898,-1.5661714783381058,9443.171610390762,7985.828389609238,8714.5,1457.343220781524,47.95459278919212,28.208921219838473,87.4459359278994,-68.24034334763948,-36.19083030175301,100.0,86520.95,-570434,53256.35,-113.0,-0.17226922783748488
2023-10-25,8423.6,8413.8,8671.2,8763.652173913044,8658.089488542295,193.28571428571428,29.032258064516128,-234.5274382381558,-243.66109092411835,9.133652685962545,9347.943160484943,7994.456839515058,8671.2,1353.4863209698851,53.130777215266654,36.51620655164787,86.35991854250423,-75.7510729613734,-28.764046830066242,79.35937897379789,89828.7,-734951,54670.45,1661.0,2.5365749366238033
2023-10-26,8445.6,8425.8,8631.2,8753.083333333334,8643.985727728743,186.57142857142858,30.37974683544303,-217.69410484699983,-238.46769370869467,20.773588861694833,9240.138887262952,8022.261112737049,8631.2,1217.877774525903,61.26321477272459,44.76520929200677,94.25922573416022,-53.37837837837838,-21.04831763363967,85.43965557081911,82522.55,-663938,55584.55,-1234.0,-1.8378684300671688
2023-10-27,8474.4,8440.8,8602.2,8745.12,8635.415658421243,168.42857142857142,46.420824295010846,-198.51477977020113,-230.47711092099595,31.962331150794824,9163.713593592767,8040.686406407235,8602.2,1123.027187185532,70.3080732002326,53.27949726141538,104.36522507786704,-23.076923076923077,-14.804173174966971,100.0,82040.75,-572745,56463.2,-2372.0,-3.598901515726227
2023-10-30,8536.8,8459.4,8572.8,8740.692307692309,8634.899881428744,167.42857142857142,57.40318906605923,-175.16328827390498,-219.41434639157777,44.251058117672784,9054.450495691623,8091.149504308375,8572.8,963.3009913832475,77.28679534393386,61.281929955588204,109.29652612062516,-8.755760368663594,4.787850538697881,100.00000000000001,81392.05,-500694,57599.05,1667.0,2.623668098902998
2023-10-31,8558.4,8487.0,8548.2,8736.888888888889,8635.195130816483,171.71428571428572,60.66350710900473,-154.23362071100746,-206.3782012554637,52.14458054445623,8954.366986660189,8142.033013339812,8548.2,812.3339733203766,81.1867916096123,67.9168838402629,107.7266071483111,-11.013215859030836,13.331759734017925,100.0,81323.8,-416297,58717.0,-609.0,-0.9339917796454156
2023-11-01,8585.6,8504.6,8531.5,8731.857142857143,8631.462261214912,166.85714285714286,62.59168704156479,-139.42851227043502,-192.98826345845796,53.55975118802294,8896.999226005353,8166.000773994648,8531.5,730.9984520107055,80.70308867953595,72.17895212002058,97.7513617985667,-20.26431718061674,19.897987317943446,100.0,80085.45,-472628,59524.25,-1677.0,-2.596176174626519
2023-11-02,8596.4,8521.0,8510.7,8726.068965517241,8625.03728395635,165.42857142857142,59.56937799043062,-128.7928459734576,-180.1491799614579,51.3563339880003,8810.10368805517,8211.296311944832,8510.7,598.8073761103369,78.03113400955847,74.12967941653321,85.83404319560901,-27.312775330396477,17.965341830300563,93.59926060922635,80041.8,-519988,60541.65,-1443.0,-2.293461330620805
2023-11-03,8616.0,8545.2,8493.0,8723.6,8627.605161674794,167.57142857142858,61.76470588235294,-111.97239122826613,-166.51382221481956,54.54143098655342,8695.18803129756,8290.81196870244,8493.0,404.37606259512177,81.66899721240246,76.64278534848962,91.72142094022811,-9.523809523809524,69.5670517583629,98.24859377659988,79669.9,-467258,61884.7,-1405.0,-2.2854819032126827
2023-11-06,8601.6,8569.2,8489.9,8718.258064516129,8620.976098658146,165.57142857142858,60.9375,-105.01650912045625,-154.21435959594692,49.19785047549067,8685.689252970971,8294.110747029028,8489.9,391.57850594194315,71.6795582323046,74.98837630976129,65.06192207739122,-30.472103004291846,52.3671253296987,96.41958285509011,81868.25,-564680,63078.9,7750.0,12.901614782753445
2023-11-07,8573.2,8565.8,8489.7,8711.3125,8609.073613071656,164.42857142857142,54.22222222222222,-103.31584354743791,-144.03465638624513,40.718812838807224,8685.453980936827,8293.946019063174,8489.7,391.5079618736527,55.934520303017884,68.63709097418015,30.52937896069335,-43.776824034334766,20.193746484071884,81.88465114286744,82732.5,-634583,64000.75,-1605.0,-2.3665585373046305
2023-11-08,8546.4,8566.0,8489.9,8703.757575757576,8595.066602302926,164.14285714285714,53.39168490153172,-103.51827543698346,-135.9313801963928,32.41310475940935,8685.525743650805,8294.274256349194,8489.9,391.25148730161163,47.826078669444875,61.70008687260173,20.07806226313116,-51.072961373390555,-28.224685652202623,80.08698861271314,82569.0,-705681,64761.9,2867.0,4.329834629615648
2023-11-09,8520.0,8558.2,8492.0,8695.764705882353,8579.536449702648,164.28571428571428,51.177730192719494,-104.89034286683273,-129.7231727304808,24.832829863648072,8683.978068922865,8300.021931077135,8492.0,383.95613784572924,39.54688769533873,54.3156871468474,10.009288792321385,-57.51072961373391,-18.666594899697863,75.2949782787507,82437.05,-786136,65342.55,3061.0,4.430966098260036
2023-11-10,8483.6,8549.8,8495.3,8689.314285714287,8569.104406873825,157.42857142857142,58.63636363636363,-101.73865389743514,-124.12626896387167,22.387615066436524,8683.133184669647,8307.466815330352,8495.3,375.66636933929476,37.667273789229654,48.76621602764149,15.46938931240598,-57.21393034825871,-11.686288760050111,88.21397286614678,80857.05,-726426,65952.15,2263.0,3.1368254716327204
2023-11-13,8462.4,8532.0,8495.7,8682.722222222223,8557.951606219174,151.28571428571428,44.31486880466472,-99.5458644895316,-119.21018806900365,19.664323579472054,8683.1067908672,8308.293209132802,8495.7,374.8135817343973,34.69005992078912,44.07416399202404,15.92185177831928,-71.26436781609195,-22.46127032755441,45.538947491032665,79625.95,-792312,66359.5,-2387.0,-3.208074617638368
2023-11-14,8476.4,8524.8,8505.9,8679.567567567568,8558.718119912586,151.0,57.26027397260274,-87.59942419001163,-112.88803529320525,25.288611103193617,8684.674659690216,8327.125340309783,8505.9,357.5493193804323,43.62479090504715,43.92437296303174,43.02562678907796,-38.50574712643678,18.10091084874144,83.44895391321745,78736.15,-728914,66732.35,1627.0,2.2591260639553523
2023-11-15,8508.8,8527.6,8516.1,8678.105263157895,8564.935441825673,150.71428571428572,57.72357723577236,-72.61461285346377,-104.83335080525696,32.21873795179319,8697.497963198644,8334.702036801356,8516.1,362.795926397288,55.13683378344139,47.66185990316829,70.0867815439876,-21.839080459770116,49.40332661353467,73.3645662899687,77173.2,-673575,67125.95,906.0,1.2302093800070635
2023-11-16,8578.0,8549.0,8535.0,8680.666666666666,8585.227304508942,155.71428571428572,63.20754716981132,-47.76195881082822,-93.41907240637121,45.657113595542995,8742.373550564362,8327.626449435638,8535.0,414.74710112872344,69.93545928241886,55.08639302958515,99.63359178808628,-0.4672897196261682,98.5020889360806,100.0,76419.75,-609837,67740.55,4490.0,6.022641914368498
2023-11-17,8618.4,8551.0,8548.1,8680.45,8593.491370746186,160.14285714285714,52.391799544419136,-36.20205084225927,-81.97566809354883,45.773617251289565,8755.327208130255,8340.872791869746,8548.1,414.4544162605089,68.48156301888034,59.55144969268355,86.34178967127392,-34.42622950819672,91.53763862481871,42.751644757023,77605.5,-723754,68768.6,5477.0,6.929227499304158
2023-11-20,8669.6,8566.0,8567.6,8681.121951219513,8604.396954484644,156.0,53.86313465783664,-23.860789033924448,-70.35269228162396,46.49190324769951,8756.222039232423,8378.977960767577,8567.6,377.2440784648461,69.9713152366306,63.02473820733256,83.86446929522668,-27.049180327868854,85.30466522244208,50.539503550680536,76865.7,-656630,69941.85,4541.0,5.372756421632996
2023-11-21,8646.8,8561.6,8563.7,8675.666666666666,8589.88295881944,172.42857142857142,43.57142857142857,-34.34144386746448,-63.15044259879207,28.80899873132759,8758.712658158625,8368.687341841376,8563.7,390.02531631724923,51.98664883019241,59.34537508161918,37.269196327338875,-79.50819672131148,-9.793485909609593,0.0,76475.5,-738558,70735.8,-7699.0,-8.644733887267009
2023-11-22,8605.2,8557.0,8561.5,8669.627906976744,8573.322677027112,170.42857142857142,43.41637010676156,-45.033222510635824,-59.526998581160825,14.493776070525001,8762.34400859737,8360.65599140263,8561.5,401.6880171947414,37.39946862849768,52.03007293057868,8.138260024335665,-86.88524590163935,-71.18229285343548,0.0,70988.5,-793335,71248.05,-3973.0,-4.883174985558192
2023-11-23,8531.6,8554.8,8556.5,8663.727272727272,8557.768136357863,168.85714285714286,38.38771593090211,-53.37540552154678,-58.29667996923802,4.921274447691239,8767.466198340142,8345.533801659858,8556.5,421.932396680284,30.488534641220674,44.849560167459344,1.7664835887433412,-83.33333333333333,-85.84641768697591,0.0,69693.8,-838454,71788.55,-669.0,-0.8644751124205263
2023-11-24,8478.8,8548.6,8549.2,8658.044444444444,8543.50450432378,160.42857142857142,42.10526315789474,-59.46258132187177,-58.52986023976477,-0.932721082106994,8770.386846472882,8328.01315352712,8549.2,442.37369294576274,25.75204634996107,38.48372222829325,0.2886945932967109,-83.72093023255815,-71.14125499948977,14.978132571525126,66939.5,-874561,72430.65,-340.0,-0.44317574525215564
2023-11-27,8396.8,8533.2,8532.6,8650.217391304348,8520.12312295961,161.0,40.08016032064128,-72.32902867173652,-61.289693926159124,-11.0393347455774,8776.881459752747,8288.318540247254,8532.6,488.5629195054935,18.69385249621818,31.88709898426823,-7.6926404798819235,-95.4225352112676,-92.35002024914269,6.818919812339355,66838.0,-944582,73042.8,1068.0,1.3982901059191644
2023-11-28,8358.0,8502.4,8513.6,8641.872340425532,8495.159016011075,156.14285714285714,39.840637450199196,-84.7761993455988,-65.98699501004707,-18.78920433555173,8781.348821806803,8245.851178193197,8513.6,535.4976436136058,12.802704385233891,25.525634117923452,-12.643155080145235,-98.9795918367347,-98.20535111591829,5.85387348250535,64473.3,-981685,73701.3,318.0,0.4106033803762621
2023-11-29,8325.6,8465.4,8496.5,8633.791666666666,8472.191490676687,152.0,40.899795501022496,-93.88123392659509,-71.56584279335667,-22.31539113323842,8784.972930409303,8208.027069590697,8496.5,576.9458608186069,11.058795562816286,20.703354599554398,-8.230322510659938,-92.42902208201893,-89.84620769371497,10.121259673120914,64694.95,-1042449,74512.25,1372.0,1.7642898476178281
2023-11-30,8332.0,8431.8,8490.4,8629.877551020409,8469.31611061224,160.57142857142858,48.758865248226954,-84.9477854196648,-74.2422313186183,-10.705554101046502,8778.021388561208,8202.77861143879,8490.4,575.2427771224175,21.27123473327917,20.892647977462655,22.028408244912193,-62.77602523659306,-37.40382070401225,41.78573664540613,66911.25,-950763,74919.45,-9518.0,-12.027243893501138
